,0
0,RT @OKFFI: #6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiakkuus https://t.co/cJjKsg…
1,We are developing inclusiveness of innovation platforms in #Twinkle2015 with #6Aika and #OmaTesoma project! #tampereallbright
2,RT OKFFI: #6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiak… …
3,#joyofhack https://t.co/YRFy0PsLnu RT OKFFI: #6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #… https://t.co/zqHBS7imgx
4,RT OKFFI: #6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiak… https://t.co/IAUpf37OJy
5,RT @OKFFI: #6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiakkuus https://t.co/cJjKsg…
6,RT @helviestinta: #Avointieto poikii liiketoimintaa ja innovaatioita. #6Aika edistää datan hyödyntämistä suurissa kaupungeissa #Suomi. http…
7,RT @databusinessfi: Blogi: Avoimen datan kehityskulkuja - https://t.co/mJI1Zs70zx #avoindata #6Aika #kehityskulku #databusiness
8,RT @helviestinta: #Avointieto poikii liiketoimintaa ja innovaatioita. #6Aika edistää datan hyödyntämistä suurissa kaupungeissa #Suomi. http…
9,"RT @BusinessOulu_: #6aika #EAKR-hankehaku on avoinna 1.12.2015-15.1.2016. #Oulu Aiheita: #avoindata, #innovaatioalustat ja #osallisuus.
htt…"
10,#6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiakkuus https://t.co/uJfP8ACG3U …
11,#6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiakkuus https://t.co/IAUpf37OJy
12,#6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiakkuus https://t.co/IAUpf37OJy
13,#6aika haku aukeaa huomenna näillä teema-alueilla. #avoindata #api #innovaatioalustat #osallisuus #asiakkuus https://t.co/cJjKsgj5S0
14,"#6aika #EAKR-hankehaku on avoinna 1.12.2015-15.1.2016. #Oulu Aiheita: #avoindata, #innovaatioalustat ja #osallisuus.
https://t.co/cE6KitM8rc"
15,"#6aika Uusi haku aukeaa huomenna. Mistä löytyy pidettyjen info-tilaisuuksien (Tre, Turku) materiaali?"
16,"#6Aika #elinvoima, #kilpailukyky ja #hyvinvointi #EAKR-haku käynnistymässä. https://t.co/HjDUDRLomb"
17,RT @helviestinta: #Avointieto poikii liiketoimintaa ja innovaatioita. #6Aika edistää datan hyödyntämistä suurissa kaupungeissa #Suomi. http…
18,RT @helviestinta: #Avointieto poikii liiketoimintaa ja innovaatioita. #6Aika edistää datan hyödyntämistä suurissa kaupungeissa #Suomi. http…
19,RT @helviestinta: #Avointieto poikii liiketoimintaa ja innovaatioita. #6Aika edistää datan hyödyntämistä suurissa kaupungeissa #Suomi. http…
20,RT @helviestinta: #Avointieto poikii liiketoimintaa ja innovaatioita. #6Aika edistää datan hyödyntämistä suurissa kaupungeissa #Suomi. http…
21,#Avointieto poikii liiketoimintaa ja innovaatioita. #6Aika edistää datan hyödyntämistä suurissa kaupungeissa #Suomi. https://t.co/kcf5xz6xhO
22,RT @databusinessfi: Blogi: Avoimen datan kehityskulkuja - https://t.co/mJI1Zs70zx #avoindata #6Aika #kehityskulku #databusiness
23,RT @EloHelsinki: #Helsinki'n #avoindata synnyttää liiketoimintaa ja innovaatioita. #6Aika @CitySDK_Hanna @HRInfoshare @databusinessfi https…
24,RT @EloHelsinki: #Helsinki'n #avoindata synnyttää liiketoimintaa ja innovaatioita. #6Aika @CitySDK_Hanna @HRInfoshare @databusinessfi https…
25,RT @databusinessfi: Blogi: Avoimen datan kehityskulkuja - https://t.co/mJI1Zs70zx #avoindata #6Aika #kehityskulku #databusiness
26,RT @EloHelsinki: #Helsinki'n #avoindata synnyttää liiketoimintaa ja innovaatioita. #6Aika @CitySDK_Hanna @HRInfoshare @databusinessfi https…
27,RT @databusinessfi: Blogi: Avoimen datan kehityskulkuja - https://t.co/mJI1Zs70zx #avoindata #6Aika #kehityskulku #databusiness
28,#Helsinki'n #avoindata synnyttää liiketoimintaa ja innovaatioita. #6Aika @CitySDK_Hanna @HRInfoshare @databusinessfi https://t.co/jxC6Eogiac
29,RT @databusinessfi: Blogi: Avoimen datan kehityskulkuja - https://t.co/mJI1Zs70zx #avoindata #6Aika #kehityskulku #databusiness
30,RT @databusinessfi: Blogi: Avoimen datan kehityskulkuja - https://t.co/mJI1Zs70zx #avoindata #6Aika #kehityskulku #databusiness
31,Blogi: Avoimen datan kehityskulkuja - https://t.co/mJI1Zs70zx #avoindata #6Aika #kehityskulku #databusiness
32,Blogi: Avoimen datan kehityskulkuja - https://t.co/p5mKpQjY0l  via @databusinessfi #avoindata #6Aika #kehityskulku #databusiness
33,"Juttua datasta ja bisneksestä, kuten musiikkibisneksestäkin https://t.co/6xEgt58YcZ #avoindata @databusinessfi #6aika"
34,6Aika - ostolaskujen avaamisohje https://t.co/xSiN9bDfRS
35,"RT @tarja_vuorinen: Tietojen yhtenäistäminen, datan harmonisointi ovat avaimia avoimen datan tehohyödyntämiseen! Tämä ei kuitenkaan synny i…"
36,RT @smoinen: Lots of interest in deeper Nordic #opendata cooperation. Let's meet in 2016 and plan more! @oystea @erikboralv @miskaknapek #6…
37,RT @CitySDK_Hanna: City of #tampere Joonas Dukpa explaining what #finland #6Aika cities want from #ckan at #sharepsi barcamp. #opendata htt…
38,RT @CitySDK_Hanna: City of #tampere Joonas Dukpa explaining what #finland #6Aika cities want from #ckan at #sharepsi barcamp. #opendata htt…
39,City of #tampere Joonas Dukpa explaining what #finland #6Aika cities want from #ckan at #sharepsi barcamp. #opendata https://t.co/46jKkp7Emr
40,RT @smoinen: City cooperation: together the six largest cities in Finland will build #opendata portal using #CKAN. #opensource #sharepsi #6…
41,"RT @aiatampere: Tänään keksittiin, että 6Aikaistamisen parastaminen aloitetaan pitsaamalla huonot käytännöt ja parhaimmat mokat #turskastat…"
42,RT @Rantakokko: #6Aika #AIA #AvoimetInnovaatioalustat tutustumassa #Kalasatama'an #VeeraMustonen esittelee https://t.co/l9Phdhmrfp
43,RT @Rantakokko: #6Aika #AvoimetInnovaatioalustat Strategiatoimistokin mukana #Kalasatama'n kärkihanketapaamisessa 😊 https://t.co/HGKkvx6077
44,RT @smoinen: City cooperation: together the six largest cities in Finland will build #opendata portal using #CKAN. #opensource #sharepsi #6…
45,RT @smoinen: City cooperation: together the six largest cities in Finland will build #opendata portal using #CKAN. #opensource #sharepsi #6…
46,Lots of interest in deeper Nordic #opendata cooperation. Let's meet in 2016 and plan more! @oystea @erikboralv @miskaknapek #6Aika #SharePSI
47,RT @smoinen: City cooperation: together the six largest cities in Finland will build #opendata portal using #CKAN. #opensource #sharepsi #6…
48,RT @smoinen: City cooperation: together the six largest cities in Finland will build #opendata portal using #CKAN. #opensource #sharepsi #6…
49,RT @smoinen: City cooperation: together the six largest cities in Finland will build #opendata portal using #CKAN. #opensource #sharepsi #6…
50,City cooperation: together the six largest cities in Finland will build #opendata portal using #CKAN. #opensource #sharepsi #6Aika #dcat
51,Hämeenlinnassa lähdetty avoimen datan tielle. Liiketoimintamahdollisuuksia valottamassa Vainu.io:sta @mikkohonkanen  @avoindata @6aika @hamk
52,"Juha kertoo  - 6aika projektista - työkaluna Trello,kuvaavat miten avata tietoa https://t.co/k8FJkAgbhx   #AvoinDataHäme"
53,RT @OpenFinland: #avoinapi kuulumiset @Kuutosaika #6aika hankkeelta - 6 isoimman kaupungin #standardi #rajapinta #avoindata https://t.co/8g…
54,RT @OpenFinland: #avoinapi kuulumiset @Kuutosaika #6aika hankkeelta - 6 isoimman kaupungin #standardi #rajapinta #avoindata https://t.co/8g…
55,"Resources, feedback &amp; decision-making API's from #6aika cities, all in harmonized form. Opening the city activities! https://t.co/USxCe7kREo"
56,#avoinapi kuulumiset @Kuutosaika #6aika hankkeelta - 6 isoimman kaupungin #standardi #rajapinta #avoindata https://t.co/8gGf5N57ZA
57,RT @Rantakokko: #6Aika #AvoimetInnovaatioalustat Strategiatoimistokin mukana #Kalasatama'n kärkihanketapaamisessa 😊 https://t.co/HGKkvx6077
58,#6Aika #AvoimetInnovaatioalustat Strategiatoimistokin mukana #Kalasatama'n kärkihanketapaamisessa 😊 https://t.co/HGKkvx6077
59,RT @CitySDK_Hanna: results of finland 's #opendata programme &amp; interoperblty work. #6aika @HRInfoshare mentnd too #sharepsi #avoindata http…
60,RT @CitySDK_Hanna: results of finland 's #opendata programme &amp; interoperblty work. #6aika @HRInfoshare mentnd too #sharepsi #avoindata http…
61,RT @CitySDK_Hanna: Excited to be at #sharepsi ws with top #opendata practitioners. #Finland #Helsinki #6aika @ForumVirium well presentd htt…
62,.@CitySDK_Hanna talking about Six City collaboration in Finland #opendata #sharepsi #6Aika https://t.co/JMZOjIZp2r
63,Pekka Koponen talking about #oascities at #SharePSI Berlin #6Aika https://t.co/irThRT3xha
64,RT @Rantakokko: #6Aika #AIA #AvoimetInnovaatioalustat tutustumassa #Kalasatama'an #VeeraMustonen esittelee https://t.co/l9Phdhmrfp
65,RT @CitySDK_Hanna: results of finland 's #opendata programme &amp; interoperblty work. #6aika @HRInfoshare mentnd too #sharepsi #avoindata http…
66,results of finland 's #opendata programme &amp; interoperblty work. #6aika @HRInfoshare mentnd too #sharepsi #avoindata https://t.co/fc1MpMWOYQ
67,RT @fiksukalasatama: #6aika avoimet innovaatioalustat koolla #teurastamo'lla! @Kuutosaika #fiksukalasatama #flavourstudio https://t.co/vuDg…
68,RT @CitySDK_Hanna: Excited to be at #sharepsi ws with top #opendata practitioners. #Finland #Helsinki #6aika @ForumVirium well presentd htt…
69,Excited to be at #sharepsi ws with top #opendata practitioners. #Finland #Helsinki #6aika @ForumVirium well presentd https://t.co/G88gOCkRy9
70,RT @CitySDK_Hanna: Tsekkaa #6aika #avoindata hankkeen tuoreimmat kuulumiset uutiskirjeestämme! https://t.co/SdJJZvXd0d
71,#6Aika #AIA #AvoimetInnovaatioalustat tutustumassa #Kalasatama'an #VeeraMustonen esittelee https://t.co/l9Phdhmrfp
72,RT @kyyberi: Myös #6Aika kaupungit ovat tervetulleita #apikafi rajapintahallinnan piiriin. Yhteistyössä ei päällekkäin https://t.co/arATAdC…
73,RT @kyyberi: Myös #6Aika kaupungit ovat tervetulleita #apikafi rajapintahallinnan piiriin. Yhteistyössä ei päällekkäin https://t.co/arATAdC…
74,Tuomaristo on puhunut - Open Arctic Challenge palkitut kisatyöt löydät https://t.co/BPq3O1waH7 Onnea voittajille! #avoindata #6aika #oulu
75,RT @ilmastokatu: .@fiksukalasatama esittelee toimintaansa #6Aika-porukalle #Teurastamo'lla. #Kalasatama https://t.co/7s9qJK7uZx
76,.@fiksukalasatama esittelee toimintaansa #6Aika-porukalle #Teurastamo'lla. #Kalasatama https://t.co/7s9qJK7uZx
77,"Tänään keksittiin, että 6Aikaistamisen parastaminen aloitetaan pitsaamalla huonot käytännöt ja parhaimmat mokat #turskastatimantteja #6aika"
78,RT @KorpelaKatri: Jännittää! Kohta ratkeaa #OpenArcticChallenge -voittajat! #6Aika #avoindata #innovointikilpailu https://t.co/fpj7eZ1ui4
79,RT @fiksukalasatama: #6aika avoimet innovaatioalustat koolla #teurastamo'lla! @Kuutosaika #fiksukalasatama #flavourstudio https://t.co/vuDg…
80,Open Arctic Challenge kisatöiden pitchaus käynnissä #Oulu #avoindata #6aika https://t.co/xXER7gk9lG
81,RT @smoinen: Kassakone laulamaan musiikkidatalla - https://t.co/Q1LHfakYQV via @databusinessfi #6Aika
82,Open Arctic Challenge palkintojenjako #oulu alkaa. #6aika esittely kuulumiset alkuun. #avoindata https://t.co/CkNa92CJLM
83,RT @KorpelaKatri: Jännittää! Kohta ratkeaa #OpenArcticChallenge -voittajat! #6Aika #avoindata #innovointikilpailu https://t.co/fpj7eZ1ui4
84,Jännittää! Kohta ratkeaa #OpenArcticChallenge -voittajat! #6Aika #avoindata #innovointikilpailu https://t.co/fpj7eZ1ui4
85,Kassakone laulamaan musiikkidatalla - https://t.co/Q1LHfakYQV via @databusinessfi #6Aika
86,RT @databusinessfi: Käy lukemassa tuore 6Aika-avoindata -uutiskirje 4/2015: https://t.co/sZTqk3Ge3v #avoindata #6Aika
87,RT @fiksukalasatama: #6aika avoimet innovaatioalustat koolla #teurastamo'lla! @Kuutosaika #fiksukalasatama #flavourstudio https://t.co/vuDg…
88,RT @fiksukalasatama: #6aika avoimet innovaatioalustat koolla #teurastamo'lla! @Kuutosaika #fiksukalasatama #flavourstudio https://t.co/vuDg…
89,RT @fiksukalasatama: #6aika avoimet innovaatioalustat koolla #teurastamo'lla! @Kuutosaika #fiksukalasatama #flavourstudio https://t.co/vuDg…
90,RT @databusinessfi: Käy lukemassa tuore 6Aika-avoindata -uutiskirje 4/2015: https://t.co/sZTqk3Ge3v #avoindata #6Aika
91,RT @databusinessfi: Käy lukemassa tuore 6Aika-avoindata -uutiskirje 4/2015: https://t.co/sZTqk3Ge3v #avoindata #6Aika
92,RT @CitySDK_Hanna: Tsekkaa #6aika #avoindata hankkeen tuoreimmat kuulumiset uutiskirjeestämme! https://t.co/SdJJZvXd0d
93,Tsekkaa #6aika #avoindata hankkeen tuoreimmat kuulumiset uutiskirjeestämme! https://t.co/SdJJZvXd0d
94,#6aika avoimet innovaatioalustat koolla #teurastamo'lla! @Kuutosaika #fiksukalasatama #flavourstudio https://t.co/vuDgzfOsPY
95,RT @EloHelsinki: #Helsinki'n &amp; Suomen viiden muun suurimman kaupungin #avoindata-vinkkejä ja menestystarinoita https://t.co/ea6GOHH8Ny #6ai…
96,RT @EloHelsinki: #Helsinki'n &amp; Suomen viiden muun suurimman kaupungin #avoindata-vinkkejä ja menestystarinoita https://t.co/ea6GOHH8Ny #6ai…
97,#Helsinki'n &amp; Suomen viiden muun suurimman kaupungin #avoindata-vinkkejä ja menestystarinoita https://t.co/ea6GOHH8Ny #6aika @databusinessfi
98,RT @aiatampere: Tänään #6aika #Tampere kaikki kärkihankkeet tekee yhteistä kuvaa @Kuutosaika kuvassa. https://t.co/phVVIFLYuK
99,RT @databusinessfi: Käy lukemassa tuore 6Aika-avoindata -uutiskirje 4/2015: https://t.co/sZTqk3Ge3v #avoindata #6Aika
